venta_id,cliente_id,producto_id,cantidad,precio,fecha
5001,1,101,1,18000.0,2026-01-01
5002,2,102,5,25.5,2026-01-06
5003,3,103,2,45.0,2026-01-11
5004,4,104,1,220.0,2026-01-16
5005,5,105,3,60.0,2026-01-21
5006,6,106,1,150.0,2026-01-26
5007,7,107,2,180.0,2026-01-31
5008,8,108,1,210.0,2026-02-05
5009,9,109,4,35.0,2026-02-10
5010,10,110,2,80.0,2026-02-15
5011,11,111,1,300.0,2026-02-20
5012,12,112,1,650.0,2026-02-25
5013,13,113,6,15.0,2026-03-02
5014,14,114,8,10.0,2026-03-07
5015,15,115,3,20.0,2026-03-12
5016,16,116,2,45.0,2026-03-17
5017,17,117,1,95.0,2026-03-22
5018,18,118,2,55.0,2026-03-27
5019,19,119,10,12.0,2026-04-01
5020,20,120,5,18.0,2026-04-06
5021,21,121,2,75.0,2026-04-11
5022,22,122,4,15.0,2026-04-16
5023,23,123,3,25.0,2026-04-21
5024,24,124,5,30.0,2026-04-26
5025,25,125,4,22.0,2026-05-01
5026,26,126,2,28.0,2026-05-06
5027,27,127,1,320.0,2026-05-11
5028,28,128,3,50.0,2026-05-16
5029,29,129,2,85.0,2026-05-21
5030,30,130,1,400.0,2026-05-26
5031,31,131,2,60.0,2026-05-31
5032,32,132,3,25.0,2026-06-05
5033,33,133,1,95.0,2026-06-10
5034,34,134,2,35.0,2026-06-15
5035,35,135,4,18.0,2026-06-20
5036,36,136,5,12.0,2026-06-25
5037,37,137,1,80.0,2026-06-30
5038,38,138,2,45.0,2026-07-05
5039,39,139,3,30.0,2026-07-10
5040,40,140,2,35.0,2026-07-15
5041,41,141,5,15.0,2026-07-20
5042,42,142,2,35.0,2026-07-25
5043,43,143,1,90.0,2026-07-30
5044,44,144,1,230.0,2026-08-04
5045,45,145,2,55.0,2026-08-09
5046,46,146,3,20.0,2026-08-14
5047,47,147,10,10.0,2026-08-19
5048,48,148,8,8.0,2026-08-24
5049,49,149,2,25.0,2026-08-29
5050,50,150,1,130.0,2026-09-03
