id,fecha,producto,cantidad,Ingreso
500287,2026-08-01,Laptop,10,8500.0
500135,2026-08-02,Mouse,5,127.5
501757,2026-08-03,Teclado,2,90.0
501546,2026-08-04,Monitor,1,220.0
499290,2026-08-05,Audífonos,3,180.0
500032,2026-08-06,Impresora,5,2750.0
499342,2026-08-07,Silla Gamers,2,360.0
499267,2026-08-08,Escritorio,1,210.0
500694,2026-08-09,Webcam,4,140.0
498242,2026-08-10,Disco Duro,2,160.0
498277,2026-08-11,Tablet,5,1500.0
499516,2026-08-12,Smartphone,1,650.0
499177,2026-08-13,Cargador,6,90.0
500738,2026-08-14,Cable HDMI,8,80.0
499123,2026-08-15,Funda Laptop,3,60.0
501529,2026-08-16,Altavoces,2,90.0
500478,2026-08-17,Micrófono,1,95.0
502378,2026-08-18,Router,2,110.0
499557,2026-08-19,Memoria USB,10,120.0
500738,2026-08-20,Tarjeta SD,5,90.0
500745,2026-08-21,Teclado Mecánico,2,150.0
498576,2026-08-22,Mousepad,4,60.0
501335,2026-08-23,Soporte Laptop,3,75.0
500576,2026-08-24,Powerbank,5,150.0
499779,2026-08-25,Hub USB,4,88.0
498169,2026-08-26,Lámpara LED,2,56.0
500384,2026-08-27,Monitor Curvo,1,320.0
500265,2026-08-28,Teclado Inalámbrico,3,150.0
500509,2026-08-29,Audífonos Bluetooth,2,170.0
499580,2026-08-30,Proyector,1,400.0
