mes,categoria,ingresos,unidades_vendidas
Enero,Tecnología,18000.0,1.0
Enero,Accesorios,127.5,5.0
Enero,Accesorios,90.0,2.0
Agosto,Monitores,220.0,1.0
Enero,Audio,180.0,3.0
Enero,Oficina,150.0,1.0
Enero,Muebles,360.0,2.0
Enero,Muebles ,210.0,1.0
Enero,Accesorios,140.0,4.0
Enero,Almacenamiento,160.0,2.0
Enero,Tecnología,300.0,1.0
Enero,Técnología,1300.0,2.0
Enero,Accesorios,90.0,6.0
Enero,Accesorios,80.0,8.0
Enero,Accesorios,60.0,3.0
Enero,Audio,90.0,2.0
Enero,Audio,95.0,1.0
Enero,Redes,110.0,2.0
Enero,Sin Categoria,120.0,10.0
Enero,Almacenamiento,90.0,5.0
Enero,Accesorios,150.0,2.0
Enero,Accesorios,60.0,4.0
Enero,Accesorios,75.0,3.0
Enero,Accesorios,150.0,5.0
Enero,Accesorios,88.0,4.0
Enero,Oficina,56.0,2.0
Enero,Monitores,320.0,1.0
Febrero,Accesorios,150.0,3.0
Febrero,Audio,170.0,2.0
Febrero,Tecnología,400.0,1.0
Febrero,tecnología,100.0,2.0
Enero,Accesorios,76.5,3.0
Febrero,Accesorios,45.0,1.0
Febrero,Monitores,440.0,2.0
Agosto,Audio,240.0,4.0
Febrero,Oficina,750.0,5.0
Febrero,Muebles,180.0,1.0
Febrero,Muebles,420.0,2.0
Febrero,Accesorios,105.0,3.0
Febrero,Sin Categoria,160.0,2.0
Febrero,Tecnología,1500.0,5.0
Febrero,Tecnología,1300.0,2.0
Enero,Accesorios,15.0,1.0
Febrero,Accesorios,10.0,1.0
Febrero,Accesorios,40.0,2.0
Febrero,Audio,135.0,3.0
Febrero,Audio,500.0,10.0
Febrero,Redes,110.0,2.0
Febrero,Almacenamiento,24.0,2.0
Febrero,Almacenamiento,18.0,1.0
Febrero,Accesorios,75.0,1.0
Febrero,Accesorios,75.0,5.0
Febrero,Accesorios,50.0,2.0
Febrero,Accesorios,30.0,1.0
Febrero,Accesorios,66.0,3.0
Marzo,Oficina,28.0,1.0
Enero,Monitores,640.0,2.0
Marzo,Sin Categoria,50.0,1.0
Abril,Audio,340.0,4.0
Marzo,Tecnología,800.0,2.0
Marzo,Tecnología,18000.0,1.0
Marzo,Accesorios,25.5,1.0
Marzo,Accesorios,270.0,6.0
Septiembre,Monitores,1760.0,8.0
Marzo,Audio,180.0,3.0
Marzo,Oficina,300.0,2.0
Marzo,Muebles,360.0,2.0
Enero,Muebles,420.0,2.0
Marzo,Accesorios,350.0,10.0
Marzo,Almacenamiento,400.0,5.0
Marzo,Tecnología,600.0,2.0
Marzo,Tecnología,2600.0,4.0
Marzo,Accesorios,45.0,3.0
Marzo,Sin Categoria,250.0,5.0
Marzo,Accesorios,80.0,4.0
Marzo,Audio,90.0,2.0
Marzo,Audio,95.0,1.0
Enero,Redes,165.0,3.0
Marzo,Almacenamiento,24.0,2.0
Marzo,Almacenamiento,18.0,1.0
Marzo,Accesorios,150.0,2.0
Marzo,Accesorios,45.0,3.0
Marzo,Accesorios,25.0,1.0
Marzo,Accesorios,60.0,2.0
Marzo,Accesorios,88.0,4.0
Marzo,Oficina,140.0,5.0
Abril,Monitores,320.0,1.0
Enero,Accesorios,100.0,2.0
Abril,Audio,170.0,2.0
Abril,Tecnología,100.0,2.0
Abril,Tecnología,1500.0,5.0
Abril,Accesorios,1300.0,2.0
Abril,Accesorios,15.0,1.0
Abril,Sin Categoria,10.0,1.0
Septiembre,Audio,40.0,2.0
Abril,Oficina,135.0,3.0
Abril,Muebles,950.0,10.0
Enero,Muebles,440.0,8.0
Abril,Accesorios,24.0,2.0
Abril,Almacenamiento,18.0,1.0
Abril,Tecnología,18000.0,1.0
Abril,Accesorios,127.5,5.0
Abril,Accesorios,90.0,2.0
Abril,Monitores,220.0,1.0
Abril,Audio,150.0,3.0
Enero,Oficina,150.0,1.0
Abril,Sin Categoria,360.0,2.0
Abril,Muebles,210.0,1.0
Abril,Accesorios,140.0,4.0
Abril,Almacenamiento,160.0,2.0
Abril,Tecnología,300.0,1.0
Abril,Tecnología,650.0,1.0
Abril,Accesorios,90.0,6.0
Abril,Accesorios,80.0,8.0
Enero,Accesorios,60.0,3.0
Abril,Audio,90.0,2.0
Enero,Audio,95.0,1.0
